x,y,theta
0.02,0,0
0.06,0,0
0.12,0,0
0.2,0,0
0.28,0,0
0.36,0,0
0.44,0,0
0.51,0,0
0.6,0,0.01
0.699995,0.000999984,0.02
0.799975,0.00299985,0.03
0.89993,0.0059994,0.04
0.99985,0.00999834,0.06
1.09967,0.0159947,0.08
1.19935,0.0239862,0.1
1.29885,0.0339696,0.12
1.39813,0.0459408,0.14
1.49715,0.0598951,0.16
1.59588,0.0758269,0.18
1.68442,0.0919396,0.2
1.75303,0.105846,0.21
1.83127,0.122523,0.23
1.92864,0.145321,0.25
2.02553,0.170061,0.28
2.12163,0.197697,0.31
2.21687,0.228203,0.35
2.3108,0.262493,0.39
2.4033,0.300512,0.43
2.49419,0.342199,0.46
2.5838,0.386594,0.49
2.67203,0.433656,0.52
2.75013,0.478375,0.55
2.82686,0.525417,0.58
2.90214,0.574739,0.61
2.97591,0.626298,0.64
3.04008,0.674073,0.67
3.10279,0.723752,0.7
3.15632,0.768848,0.72
3.22399,0.828192,0.73
3.2985,0.894879,0.74
3.37235,0.962308,0.75
3.44552,1.03047,0.76
3.518,1.09936,0.77
3.5898,1.16898,0.78
3.66089,1.23931,0.79
3.73127,1.31034,0.8
3.80094,1.38208,0.81
3.863,1.44726,0.82
3.9244,1.51307,0.83
3.97839,1.5721,0.84
4.03178,1.63167,0.85
4.08458,1.69177,0.86
4.13025,1.74482,0.87
4.17539,1.79833,0.88
4.23274,1.86769,0.88
4.29645,1.94477,0.88
4.36017,2.02184,0.88
4.42388,2.09892,0.88
4.4876,2.17599,0.88
4.55131,2.25306,0.88
4.61503,2.33014,0.88
4.67874,2.40721,0.88
4.74246,2.48429,0.88
4.7998,2.55365,0.88
4.85715,2.62302,0.88
4.90812,2.68468,0.88
4.95909,2.74634,0.88
5.01006,2.808,0.88
5.05466,2.86195,0.88
5.11201,2.93132,0.88
5.17572,3.00839,0.88
5.23944,3.08546,0.88
5.30315,3.16254,0.88
5.36687,3.23961,0.88
5.43059,3.31669,0.87
5.49507,3.39312,0.87
5.55955,3.46955,0.87
5.62403,3.54598,0.86
5.68275,3.61419,0.86
5.74147,3.6824,0.86
5.79367,3.74302,0.86
5.84586,3.80365,0.85
5.89206,3.85624,0.85
5.93826,3.90883,0.85
5.98446,3.96142,0.85
6.04386,4.02904,0.85
6.10986,4.10417,0.85
6.17586,4.17929,0.84
6.2426,4.25376,0.84
6.30935,4.32822,0.83
6.37684,4.40202,0.83
6.44432,4.47581,0.83
6.51181,4.5496,0.82
6.57321,4.61541,0.82
6.63461,4.68121,0.82
6.69601,4.74701,0.81
6.75117,4.80496,0.81
6.80633,4.8629,0.81
6.8546,4.9136,0.81
6.90286,4.9643,0.81
6.95113,5.015,0.8
7.01383,5.07956,0.79
7.08422,5.1506,0.78
7.15531,5.22093,0.77
7.2271,5.29054,0.76
7.29958,5.35943,0.75
7.37275,5.4276,0.74
7.4466,5.49503,0.73
7.52112,5.56171,0.72
7.58878,5.62106,0.71
7.65703,5.67972,0.7
7.71822,5.73126,0.69
7.77992,5.78218,0.68
7.83435,5.8262,0.68
7.88878,5.87021,0.68
7.94321,5.91423,0.68
7.98987,5.95196,0.68
8.05207,6.00226,0.68
8.12983,6.06514,0.68
8.20759,6.12802,0.68
8.28535,6.1909,0.69
8.36247,6.25455,0.7
8.43896,6.31898,0.73
8.51347,6.38566,0.76
8.58596,6.45456,0.8
8.64169,6.51195,0.85
8.68789,6.56454,0.89
8.74454,6.63447,0.93
8.80432,6.71463,0.98
8.86003,6.79768,1.03
8.91151,6.88341,1.07
8.95952,6.97114,1.11
8.99954,7.05175,1.15
9.03631,7.1339,1.19
9.06975,7.21745,1.23
9.09984,7.30228,1.27
9.12354,7.37868,1.3
9.14226,7.44613,1.33
9.15896,7.51411,1.36
9.1736,7.58257,1.39
9.18619,7.65142,1.42
9.1952,7.71074,1.45
9.20243,7.77031,1.48
9.20697,7.8201,1.5
9.2105,7.86998,1.52
9.21304,7.91991,1.54
9.21458,7.96989,1.56
9.21512,8.01989,1.58
9.21475,8.05989,1.6
9.21359,8.09987,1.62
9.21162,8.13982,1.64
9.20885,8.17973,1.66
9.20618,8.20961,1.67
9.20321,8.23946,1.68
9.19994,8.26928,1.69
9.19637,8.29907,1.7
9.19251,8.32882,1.71
9.18834,8.35853,1.72
9.18388,8.3882,1.73
9.17913,8.41782,1.74
9.17576,8.43754,1.75
9.1722,8.45722,1.76
9.16843,8.47686,1.77
9.16448,8.49646,1.78
9.16032,8.51603,1.79
9.15597,8.53555,1.8
9.15143,8.55503,1.81
9.14669,8.57446,1.82
9.14176,8.59384,1.83
9.13663,8.61317,1.84
9.13397,8.62281,1.84
9.13131,8.63245,1.84
9.12865,8.64209,1.85
9.1259,8.65171,1.85
9.12314,8.66132,1.85
9.12039,8.67093,1.85
9.11763,8.68055,1.86
9.11478,8.69013,1.86
9.11193,8.69971,1.86
9.10907,8.7093,1.87
9.10613,8.71885,1.87
9.10318,8.72841,1.87
