rx,ry,rtheta,hx1,hy1,hx2,hy2
1.03,1,0.08,4,13.15,9,5.15
1.0599,1.0024,0.15,4,13.3,9,5.3
1.08957,1.00688,0.22,4,13.45,9,5.45
1.11884,1.01343,0.29,4,13.6,9,5.6
1.14759,1.02201,0.35,4,13.75,9,5.75
1.17577,1.03229,0.41,4,13.9,9,5.9
1.20329,1.04425,0.47,4,14.05,9,6.05
1.23003,1.05784,0.53,4,14.2,9,6.2
1.24729,1.06795,0.58,4,14.35,9,6.35
1.26402,1.07891,0.63,4,14.5,9,6.5
1.28018,1.09069,0.67,4,14.65,9,6.65
1.29586,1.10311,0.71,4,14.8,9,6.8
1.31102,1.11615,0.75,4,14.95,9,6.95
1.32566,1.12978,0.79,4,15.1,9,7.1
1.33973,1.14399,0.83,4,15.25,9,7.25
1.35323,1.15875,0.87,4,15.4,9,7.4
1.36613,1.17403,0.91,4,15.55,9,7.55
1.3784,1.18982,0.95,4,15.4,9,7.4
1.38422,1.19796,0.98,4,15.25,9,7.25
1.38979,1.20626,1.01,4,15.1,9,7.1
1.40043,1.2232,1.04,4,14.95,9,6.95
1.41055,1.24045,1.07,4,14.8,9,6.8
1.42015,1.25799,1.1,4,14.65,9,6.65
1.42923,1.27582,1.13,4,14.5,9,6.5
1.43349,1.28486,1.15,4,14.35,9,6.35
1.43758,1.29399,1.17,4,14.2,9,6.2
1.44148,1.30319,1.19,4,14.05,9,6.05
1.44519,1.31248,1.21,4,13.9,9,5.9
1.44872,1.32183,1.23,4,13.75,9,5.75
1.45207,1.33126,1.24,4,13.6,9,5.6
1.45532,1.34072,1.25,4,13.45,9,5.45
1.45847,1.35021,1.27,4,13.3,9,5.3
1.46143,1.35976,1.28,4,13.15,9,5.15
1.4643,1.36934,1.3,4,13,9,5
1.46697,1.37897,1.31,4,12.85,9,4.85
1.46955,1.38864,1.32,4,12.7,9,4.7
1.47203,1.39832,1.34,4,12.55,9,4.55
1.47432,1.40806,1.35,4,12.4,9,4.4
1.47651,1.41781,1.36,4,12.25,9,4.25
1.4786,1.42759,1.37,4,12.1,9,4.1
1.4806,1.43739,1.38,4,11.95,9,3.95
1.48249,1.44721,1.39,4,11.8,9,3.8
